skill
Python
Java
C++
SQL
MySQL
MongoDB
Git
GitHub
Docker
AWS
Azure
Javascript
React
NodeJS
HTML
CSS
Pandas
NumPy
Matplotlib
Scikit-learn
TensorFlow
PyTorch
Machine Learning
Deep Learning
NLP
Flask
Streamlit
Linux
DSA
